rep,random_state_split,r2_train,r2_test,mae_test,rmse_test,delta_r2,elapsed_s
0,0,0.9144372211057534,0.8791557578380417,7.19554800980352,11.677094950606596,0.035281463267711755,37.49881571600008
1,1,0.9149348618542472,0.8751497562421592,7.544562155076931,12.103376218641516,0.039785105612088034,37.21334006100005
2,2,0.9130786928261777,0.8868027850709713,7.313737552940733,11.28665372002929,0.026275907755206385,36.43245455900001
3,3,0.9152519802607694,0.8834513572935825,7.173104414395237,11.42616155898215,0.03180062296718689,37.225253590999955
4,4,0.9138411130186743,0.8820555306299253,7.36135581124826,11.763958463744219,0.03178558238874907,37.012309895000044
5,5,0.9151004031242553,0.8770945468823738,7.273188565907937,11.733824995851135,0.038005856241881575,37.245831553000016
6,6,0.9164788269343875,0.8757355387451892,7.487338459278719,12.14563776922612,0.04074328818919837,37.32050421000008
7,7,0.914998748734278,0.8847382450055459,7.23441747342402,11.38074923654318,0.030260503728732124,37.04393430699997
8,8,0.9153192464632327,0.8756199942251185,7.274035182183648,11.722562503486152,0.03969925223811421,37.044282417000204
9,9,0.9186621546710503,0.8694177635656937,7.179341198219033,11.952600094493986,0.04924439110535661,37.36571005199994
10,10,0.9134485296125998,0.8783127656376586,7.402337597468774,11.736760380134335,0.035135763974941225,37.14183218500011
11,11,0.9152151028284484,0.8754681257461044,7.268589873354004,11.872089054626592,0.03974697708234398,37.26576444499983
12,12,0.9131499745205914,0.876514636501514,7.2827587534653935,11.754014111582135,0.03663533801907748,36.82236904199999
13,13,0.9138932157207322,0.884215676030509,7.341602730349354,11.569921056071296,0.029677539690223242,37.29174433900016
14,14,0.9141908285654926,0.8746349646376028,7.226338480827345,11.777922897069942,0.03955586392788979,37.34701067800006
15,15,0.9153462819545404,0.8841312203233166,7.30688793326323,11.48138429933718,0.031215061631223784,37.27550428599989
16,16,0.9130763714757353,0.8831866005580894,7.243050859983839,11.494508285850396,0.029889770917645886,37.1820581500001
17,17,0.9131421372087558,0.8783845148754778,7.370095699159141,11.784235377853316,0.03475762233327806,36.84605888599981
18,18,0.9161230900641695,0.8793098579233015,7.247568778626434,11.79944137981222,0.03681323214086796,37.50144863200012
19,19,0.9138928042204564,0.8815565196623555,7.438924112316224,11.657531822350453,0.03233628455810089,37.182964575999904
20,20,0.9168798817304156,0.8774056419129624,7.263282724387073,11.802985651359027,0.03947423981745313,37.365879018000214
21,21,0.915885768892113,0.8735192971011934,7.39191849364684,11.872032534975208,0.04236647179091968,37.053521386000284
22,22,0.9159070872382911,0.8650266105429623,7.576432313386458,12.401974064861871,0.0508804766953288,37.30035382699998
23,23,0.9164899743791757,0.8733673938265917,7.553260731977912,11.908781039534151,0.043122580552584,36.944839685999796
24,24,0.9158873551089743,0.8684313839315763,7.7094360790447025,12.352775777306302,0.04745597117739808,37.0690891700001
25,25,0.9114522493409357,0.8793104310938273,7.404189290886651,11.702987445620506,0.03214181824710838,36.92947242199989
26,26,0.9126287164389351,0.8903374208032615,7.002892605151933,11.292835804808158,0.022291295635673558,37.160943639999914
27,27,0.9156611207714538,0.8825468750797425,7.226016623503851,11.653929571415805,0.033114245691711286,37.17179968800019
28,28,0.9163823150688906,0.8817125768986808,7.201305767892977,11.60006392830212,0.034669738170209796,37.23611869300021
29,29,0.913323348964457,0.8744683394975041,7.43089880766812,12.029945242607837,0.03885500946695286,37.13643965099982
