rep,features
0,"['feat_47', 'feat_17', 'feat_37', 'feat_75', 'feat_25', 'feat_27', 'feat_69', 'feat_72', 'feat_73', 'feat_33', 'feat_74', 'feat_19', 'feat_5', 'feat_7', 'feat_15', 'feat_57']"
1,"['feat_17', 'feat_47', 'feat_37', 'feat_75', 'feat_25', 'feat_69', 'feat_19', 'feat_72', 'feat_27', 'feat_33', 'feat_73', 'feat_74', 'feat_7', 'feat_5', 'feat_57', 'feat_15']"
2,"['feat_17', 'feat_47', 'feat_37', 'feat_75', 'feat_25', 'feat_27', 'feat_69', 'feat_72', 'feat_73', 'feat_33', 'feat_74', 'feat_19', 'feat_7', 'feat_5', 'feat_15', 'feat_35']"
3,"['feat_17', 'feat_47', 'feat_37', 'feat_75', 'feat_27', 'feat_69', 'feat_25', 'feat_33', 'feat_72', 'feat_73', 'feat_74', 'feat_19', 'feat_7', 'feat_5', 'feat_57', 'feat_15']"
4,"['feat_47', 'feat_17', 'feat_37', 'feat_75', 'feat_25', 'feat_69', 'feat_27', 'feat_33', 'feat_72', 'feat_19', 'feat_74', 'feat_7', 'feat_73', 'feat_5', 'feat_57', 'feat_35']"
5,"['feat_17', 'feat_47', 'feat_37', 'feat_75', 'feat_69', 'feat_25', 'feat_27', 'feat_33', 'feat_19', 'feat_74', 'feat_72', 'feat_73', 'feat_5', 'feat_7', 'feat_57', 'feat_35']"
6,"['feat_47', 'feat_17', 'feat_37', 'feat_75', 'feat_27', 'feat_25', 'feat_69', 'feat_72', 'feat_33', 'feat_73', 'feat_19', 'feat_74', 'feat_57', 'feat_7', 'feat_5', 'feat_15']"
7,"['feat_17', 'feat_47', 'feat_37', 'feat_75', 'feat_27', 'feat_25', 'feat_69', 'feat_72', 'feat_33', 'feat_19', 'feat_73', 'feat_74', 'feat_57', 'feat_5', 'feat_7', 'feat_35']"
8,"['feat_17', 'feat_47', 'feat_37', 'feat_75', 'feat_25', 'feat_27', 'feat_69', 'feat_33', 'feat_73', 'feat_19', 'feat_72', 'feat_74', 'feat_5', 'feat_7', 'feat_35', 'feat_57']"
9,"['feat_17', 'feat_47', 'feat_37', 'feat_75', 'feat_27', 'feat_25', 'feat_69', 'feat_72', 'feat_73', 'feat_33', 'feat_74', 'feat_19', 'feat_5', 'feat_57', 'feat_7', 'feat_49']"
10,"['feat_17', 'feat_47', 'feat_37', 'feat_25', 'feat_75', 'feat_72', 'feat_27', 'feat_69', 'feat_33', 'feat_74', 'feat_19', 'feat_73', 'feat_5', 'feat_7', 'feat_57', 'feat_15']"
11,"['feat_47', 'feat_17', 'feat_37', 'feat_75', 'feat_25', 'feat_69', 'feat_27', 'feat_73', 'feat_33', 'feat_72', 'feat_19', 'feat_74', 'feat_5', 'feat_7', 'feat_57', 'feat_15']"
12,"['feat_17', 'feat_47', 'feat_37', 'feat_75', 'feat_25', 'feat_27', 'feat_69', 'feat_72', 'feat_73', 'feat_33', 'feat_74', 'feat_19', 'feat_5', 'feat_7', 'feat_57', 'feat_15']"
13,"['feat_47', 'feat_17', 'feat_37', 'feat_75', 'feat_69', 'feat_25', 'feat_27', 'feat_72', 'feat_73', 'feat_33', 'feat_19', 'feat_74', 'feat_7', 'feat_5', 'feat_57', 'feat_15']"
14,"['feat_17', 'feat_47', 'feat_37', 'feat_75', 'feat_25', 'feat_27', 'feat_69', 'feat_72', 'feat_19', 'feat_33', 'feat_73', 'feat_5', 'feat_74', 'feat_7', 'feat_57', 'feat_35']"
15,"['feat_47', 'feat_17', 'feat_37', 'feat_75', 'feat_72', 'feat_27', 'feat_25', 'feat_69', 'feat_74', 'feat_73', 'feat_33', 'feat_19', 'feat_7', 'feat_5', 'feat_57', 'feat_35']"
