rep,features
0,"['feat_15', 'feat_25', 'feat_33', 'feat_5', 'feat_35', 'feat_19', 'feat_45', 'feat_69', 'feat_55', 'feat_49', 'feat_53', 'feat_63', 'feat_43', 'feat_29', 'feat_31', 'feat_59']"
1,"['feat_15', 'feat_25', 'feat_5', 'feat_33', 'feat_19', 'feat_35', 'feat_69', 'feat_45', 'feat_55', 'feat_49', 'feat_53', 'feat_43', 'feat_63', 'feat_29', 'feat_31', 'feat_39']"
2,"['feat_15', 'feat_25', 'feat_33', 'feat_5', 'feat_35', 'feat_19', 'feat_69', 'feat_45', 'feat_55', 'feat_49', 'feat_53', 'feat_63', 'feat_43', 'feat_29', 'feat_31', 'feat_39']"
3,"['feat_15', 'feat_25', 'feat_5', 'feat_33', 'feat_35', 'feat_19', 'feat_69', 'feat_45', 'feat_55', 'feat_53', 'feat_49', 'feat_43', 'feat_63', 'feat_29', 'feat_39', 'feat_31']"
4,"['feat_15', 'feat_25', 'feat_33', 'feat_5', 'feat_35', 'feat_19', 'feat_69', 'feat_45', 'feat_55', 'feat_53', 'feat_49', 'feat_43', 'feat_63', 'feat_29', 'feat_31', 'feat_39']"
5,"['feat_15', 'feat_25', 'feat_5', 'feat_33', 'feat_35', 'feat_19', 'feat_69', 'feat_45', 'feat_55', 'feat_49', 'feat_53', 'feat_63', 'feat_43', 'feat_29', 'feat_31', 'feat_39']"
6,"['feat_15', 'feat_25', 'feat_5', 'feat_33', 'feat_19', 'feat_35', 'feat_69', 'feat_45', 'feat_55', 'feat_49', 'feat_53', 'feat_63', 'feat_43', 'feat_29', 'feat_31', 'feat_39']"
7,"['feat_15', 'feat_25', 'feat_33', 'feat_5', 'feat_35', 'feat_19', 'feat_69', 'feat_45', 'feat_55', 'feat_49', 'feat_53', 'feat_63', 'feat_43', 'feat_31', 'feat_29', 'feat_39']"
8,"['feat_15', 'feat_25', 'feat_33', 'feat_5', 'feat_35', 'feat_19', 'feat_69', 'feat_45', 'feat_55', 'feat_53', 'feat_49', 'feat_63', 'feat_29', 'feat_43', 'feat_31', 'feat_39']"
9,"['feat_15', 'feat_25', 'feat_5', 'feat_33', 'feat_35', 'feat_19', 'feat_69', 'feat_45', 'feat_55', 'feat_49', 'feat_53', 'feat_63', 'feat_43', 'feat_29', 'feat_31', 'feat_39']"
10,"['feat_15', 'feat_25', 'feat_33', 'feat_5', 'feat_35', 'feat_19', 'feat_69', 'feat_45', 'feat_55', 'feat_49', 'feat_53', 'feat_43', 'feat_63', 'feat_29', 'feat_31', 'feat_39']"
11,"['feat_15', 'feat_25', 'feat_5', 'feat_33', 'feat_19', 'feat_35', 'feat_45', 'feat_69', 'feat_55', 'feat_49', 'feat_53', 'feat_63', 'feat_43', 'feat_29', 'feat_31', 'feat_39']"
12,"['feat_15', 'feat_25', 'feat_5', 'feat_33', 'feat_35', 'feat_19', 'feat_45', 'feat_69', 'feat_55', 'feat_49', 'feat_53', 'feat_63', 'feat_43', 'feat_29', 'feat_31', 'feat_39']"
13,"['feat_15', 'feat_25', 'feat_5', 'feat_33', 'feat_35', 'feat_19', 'feat_45', 'feat_69', 'feat_55', 'feat_49', 'feat_53', 'feat_63', 'feat_43', 'feat_29', 'feat_31', 'feat_59']"
